Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Eric Bledsoe , 38.37 , 21.8 , 55.6 , 5.63333333333
Trey Burke , 19.5 , 1.7 , 29.1 , 4.56666666667
Russell Westbrook , 52.52 , 39.8 , 71.2 , 5.23333333333
Dirk Nowitzki , 29.55 , 17.5 , 43.7 , 4.36666666667
Kawhi Leonard , 38.09 , 31.5 , 48.6 , 2.85
Clint Capela , 19.51 , 8.2 , 36.4 , 4.7
Jeremy Lamb , 21.74 , 6.8 , 32.3 , 4.25
Ed Davis , 17.55 , 2.8 , 27.7 , 4.15

LowPointCutoff, 280.0
Experiments run, 5000
Traceback (most recent call last):
  File "C:\Users\tnewill\Dropbox\Business Ideas\NBAPredictor\CalculateMC.py", line 138, in <module>
    summary_reader(mc)
  File "C:\Users\tnewill\Dropbox\Business Ideas\NBAPredictor\CalculateMC.py", line 51, in summary_reader
    if float(methodSummary.values()[index][9]) > lowCutOff:
IndexError: list index out of range
